CollisionID,ClaimAmount,ClaimDateTime
4654053,7161.16,2013-08-13 15:18
4630076,2063.14,2013-05-17 12:11
4635954,3586.09,2013-05-20 3:15
4657471,2384.28,2013-08-27 13:19
4638951,7932.66,2013-06-13 15:15
4660220,1693.86,2013-09-06 12:51
4681077,9143.68,2013-11-17 7:30
4690628,1513,2013-12-21 14:42
242917,3726.58,2013-07-25 14:42
2934541,543.48,2013-11-11 2:31
129060,6438.87,2013-12-01 12:46
258566,7746.45,2013-11-20 11:08
207901,4505.79,2013-12-04 14:54
232105,2392.61,2013-11-11 9:31
2998213,4236.13,2013-12-03 6:51
115858,1588.95,2013-12-05 15:33
258523,9638.92,2013-11-16 7:36
244302,9789.58,2013-11-25 6:51
182121,2585.93,2013-11-25 15:48
263256,1925.07,2013-11-22 12:16
134059,4754.19,2013-11-25 12:25
169262,9643.56,2013-11-09 11:19
87977,2525.53,2013-11-18 14:03
207721,3955.33,2013-11-15 1:44
193446,3928.58,2013-11-13 14:18
20736,2930.93,2013-12-01 14:32
278153,2259.89,2013-11-21 12:50
226607,2278.22,2013-12-07 6:48
212582,4224.13,2013-12-29 5:18
253633,9720.92,2013-12-17 15:55
51253,4924.99,2013-12-08 13:41
147135,9190.4,2013-12-31 7:44
226714,5383.09,2013-12-13 10:26
212536,3554.11,2013-12-22 16:30
84605,6335.2,2013-12-21 12:42
3090514,2750.11,2013-12-19 4:48
292395,4713.48,2013-12-21 8:36
218397,4004.53,2013-12-06 11:15
147055,9447.84,2013-12-14 5:45
202038,7765.01,2013-12-12 3:59
2965538,9378.35,2013-12-10 2:23
263559,2023.57,2013-12-28 6:16
290026,8619.34,2013-12-18 4:15
169855,9527.4,2013-12-27 17:28
169632,6619.67,2013-12-09 3:55
193577,5003.43,2013-12-17 14:52
106349,1891.54,2013-12-21 22:28
292494,6822.49,2013-12-31 6:57
78354,8188.21,2013-12-31 10:10
91685,771.49,2013-12-31 12:04
253859,4351.2,2013-12-31 1:46
125216,9412.98,2013-12-30 8:35
2913905,2566.56,2013-12-29 12:33
2922034,9368.41,2013-12-28 20:19
2913896,6950.26,2013-12-27 19:36
2865105,6834.56,2013-12-28 8:08
2913898,672.65,2013-12-28 16:10
2897728,7505.36,2013-12-27 22:24
3046160,6343.87,2013-12-26 20:15
2865106,2911.5,2013-12-27 5:48
3065999,4561.99,2013-12-27 6:40
292457,7623.68,2013-12-27 7:54
3056875,4080.88,2013-12-27 12:52
2913907,5095.38,2013-12-27 15:34
292453,907.1,2013-12-26 21:45
2865099,9697.69,2013-12-24 19:52
106383,6932.8,2013-12-25 12:31
2988543,754.71,2013-12-24 10:45
2897725,2205.25,2013-12-24 19:13
2889377,2058.37,2013-12-23 8:59
2913887,5487.85,2013-12-23 13:19
292430,7690.62,2013-12-22 14:59
3046153,3758.22,2013-12-22 1:32
91637,9840.15,2013-12-20 20:05
91642,5912.12,2013-12-21 8:34
2879712,6363.92,2013-12-21 15:14
2919292,2115.34,2013-12-21 2:27
2873453,1805.12,2013-12-20 5:01
88125,5485.14,2013-12-20 9:05
3065961,3807.1,2013-12-20 10:39
278509,4097.56,2013-12-20 12:04
253715,9712.81,2013-12-20 14:23
2879710,7056.98,2013-12-20 15:02
2879706,1298.05,2013-12-20 2:25
91621,4673.53,2013-12-18 10:23
2957918,9639.11,2013-12-18 12:08
283916,6123,2013-12-17 8:41
3023924,8437.25,2013-12-17 13:05
2934604,7954.75,2013-12-16 5:33
292342,5753.29,2013-12-16 10:01
2927739,1011.17,2013-12-16 12:27
2879703,5695.93,2013-12-16 16:11
2919287,3549.49,2013-12-16 17:43
78285,2007.19,2013-12-15 23:04
258767,761.66,2013-12-15 11:15
2957909,5242.93,2013-12-15 12:29
2897704,1212.13,2013-12-14 12:02
3102548,6694.83,2013-12-14 15:35
2957905,9221.73,2013-12-13 8:06
2913863,9996.05,2013-12-13 8:29
2927738,7769.3,2013-12-13 15:26
2927735,747.59,2013-12-12 11:58
84513,2471.67,2013-12-12 2:22
2919304,9036.94,2013-12-11 7:55
3123023,2170.08,2013-12-11 13:40
2865083,4066.54,2013-12-11 4:00
303716,1247.57,2013-12-10 6:22
2946637,5850.23,2013-12-10 7:04
2957903,7373.05,2013-12-10 3:32
2865080,8965.39,2013-12-08 20:07
3018028,5153.25,2013-12-09 7:25
2976597,4971.75,2013-12-09 7:58
3065945,7297.23,2013-12-08 14:16
191043,6981.58,2013-12-08 16:39
25474,1839.55,2013-12-07 11:02
2879687,6460.05,2013-12-07 12:35
2897694,3771.82,2013-12-07 0:02
3065935,6392.79,2013-12-07 4:44
289931,4799.24,2013-12-06 7:34
2873438,2151.51,2013-12-06 8:18
197445,1340.32,2013-12-06 8:22
263376,4010.98,2013-12-06 14:13
2965532,1800.91,2013-12-05 22:59
2998221,3830.69,2013-12-06 4:42
2865070,7658.33,2013-12-05 7:40
3102541,4293.03,2013-12-05 12:41
3018012,6434.54,2013-12-04 23:10
2913839,4023.7,2013-12-04 14:50
226556,5519.03,2013-12-04 14:49
3123007,7716.61,2013-12-03 7:57
2934589,4889.19,2013-12-03 12:15
2879680,4860.37,2013-12-03 14:46
278278,7182.93,2013-12-03 3:45
2897685,8894.05,2013-12-02 10:20
2841005,6294.25,2013-12-02 15:02
2934599,5308.58,2013-12-02 17:33
218366,3764.35,2013-12-01 23:13
283793,3859.59,2013-12-02 2:02
3046089,4363.18,2013-12-02 3:41
2865061,2064.72,2013-12-01 6:26
2834142,5958.76,2013-12-01 14:57
3090469,3817.99,2013-12-01 17:40
3123003,2284.12,2013-11-30 8:04
300243,3870.58,2013-11-30 13:31
2934582,1867.12,2013-11-29 20:37
2866588,6416.56,2013-11-30 0:01
2865060,1906.19,2013-11-29 11:19
2934581,861.01,2013-11-29 13:17
2897683,9564.46,2013-11-29 16:39
2873432,9676.53,2013-11-28 21:27
2934579,7505.67,2013-11-29 1:57
2865053,9399.49,2013-11-29 3:47
2873429,8891.66,2013-11-28 10:31
178818,8749.81,2013-11-28 16:03
278237,8549.82,2013-11-27 6:36
2919272,7400.5,2013-11-27 11:00
112800,4710.99,2013-11-27 13:33
3097482,3450.25,2013-11-26 20:42
2934573,6263.31,2013-11-27 4:41
271686,3599.83,2013-11-26 5:10
2913812,855.35,2013-11-26 9:53
2913815,678.05,2013-11-26 10:14
244320,8458.11,2013-11-26 12:37
2873423,9447.48,2013-11-26 13:33
2873424,5589.91,2013-11-26 18:09
292085,4603.56,2013-11-25 5:50
3046064,9253.05,2013-11-25 6:44
253277,8970.6,2013-11-25 6:50
2873419,6549.81,2013-11-25 8:59
2873418,7101.18,2013-11-25 10:14
2889340,7687.24,2013-11-25 14:39
112787,6362.49,2013-11-25 19:03
197353,7915.76,2013-11-24 23:14
263286,8868.86,2013-11-25 3:01
3046063,5546.83,2013-11-24 9:22
2873434,8896.17,2013-11-24 10:02
2913806,6136.86,2013-11-24 1:31
169429,6068.03,2013-11-23 6:34
2839328,1062.77,2013-11-22 20:48
237588,6548.9,2013-11-23 16:38
61725,6245.49,2013-11-22 22:26
3017981,9165.85,2013-11-23 0:48
2927722,3349.41,2013-11-23 4:23
3023898,5630.19,2013-11-22 8:21
2879663,2758.77,2013-11-22 4:20
3065907,7705.23,2013-11-21 4:35
253179,5315.21,2013-11-20 5:31
292039,7949.62,2013-11-20 6:55
2922001,3595.41,2013-11-20 10:38
2988508,7686.24,2013-11-20 14:23
253171,675.61,2013-11-19 6:14
91447,3031.04,2013-11-19 7:13
2919263,6457.88,2013-11-19 7:42
3023894,3072.47,2013-11-19 12:18
128981,8893.33,2013-11-19 14:49
3034453,5825.74,2013-11-19 3:28
84348,4206.93,2013-11-19 5:05
3122981,2895.43,2013-11-17 20:04
3046038,1811.15,2013-11-17 22:39
2957864,8097.23,2013-11-16 6:51
300109,6241.82,2013-11-16 18:44
2965509,5199.87,2013-11-15 9:12
2849237,7996.63,2013-11-15 14:51
106102,7771.28,2013-11-15 0:16
2913791,8555.06,2013-11-14 11:11
2927705,2982.96,2013-11-14 14:55
292011,4764.18,2013-11-14 16:33
2927706,6904.18,2013-11-14 19:16
3046016,6089.77,2013-11-13 6:23
2897658,2645.87,2013-11-13 7:37
3046013,4224.53,2013-11-13 10:40
3065873,9384.79,2013-11-12 6:16
289742,3931.05,2013-11-12 15:42
2865009,963.76,2013-11-12 2:46
80318,2939.26,2013-11-11 1:46
3023884,9189.95,2013-11-11 2:31
2865005,8007,2013-11-10 4:55
